time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
0,100.215,100.322,0.00215019,0.00321013,0.00321013,-0.00329736,3325,3347,3328
1,100.915,100.179,0.00695827,-0.00142515,-0.00036522,-0.00419539,3323,3351,3326
2,98.2457,98.9812,-0.0268068,-0.0120253,-0.0193488,-0.00164942,3329,3340,3331
3,100.135,98.8229,0.0190489,-0.0016005,0.00585749,-0.00960384,3300,3364,3336
4,100.656,99.7911,0.00519207,0.00974988,-0.00344158,0.00270108,3341,3323,3336
5,99.4916,100.439,-0.0116396,0.0064665,-0.00216715,-0.00105216,3323,3330,3347
6,101.49,100.425,0.019887,-0.000132418,0.00934004,0.000301205,3321,3319,3360
7,98.9508,99.8021,-0.0253372,-0.00622383,-0.0167708,0.000602047,3324,3320,3356
8,100.699,99.4652,0.0175157,-0.00338167,0.00518479,-0.0012012,3326,3334,3340
9,98.7154,99.947,-0.0198976,0.00483272,-0.00749817,0.00434717,3350,3321,3329
10,102.051,101.373,0.0332268,0.0141675,0.026567,0.00164547,3348,3337,3315
11,99.6288,100.586,-0.0240167,-0.00779036,-0.0144502,0.0105011,3368,3298,3334
12,101.785,100.724,0.0214098,0.00136764,0.0109341,0.0071964,3359,3311,3330
13,98.829,99.6299,-0.0294702,-0.0109225,-0.0213981,0.0106559,3367,3296,3337
14,97.3237,98.7874,-0.0153477,-0.00849285,-0.000420792,0.00451535,3337,3307,3356
15,99.5978,98.6248,0.0230974,-0.00164752,0.0132794,0.00135115,3335,3326,3339
16,97.6932,98.9683,-0.0193085,0.00347689,-0.00634105,0.00691521,3349,3303,3348
17,100.072,99.1559,0.0240583,0.00189417,0.0148616,0.00135196,3333,3324,3343
18,98.096,99.2848,-0.0199432,0.00129942,-0.00789732,0.0133734,3372,3283,3345
19,100.077,98.8979,0.0199959,-0.00390504,0.00814082,0.0110089,3352,3279,3369
20,98.0378,99.1942,-0.0205901,0.00299199,-0.00886307,0.0126659,3358,3274,3368
21,100.882,100.108,0.0285947,0.00917101,0.020898,-0.00226347,3306,3321,3373
22,101.161,100.442,0.00276325,0.00333017,-0.00436648,0.00514839,3319,3285,3396
23,99.2534,100.6,-0.0190346,0.0015682,-0.00556153,0.00392512,3325,3299,3376
