time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
0,98.0511,99.3189,-0.0196813,-0.00683403,-0.00683403,0.00220592,33393,33246,33361
1,100.595,99.8423,0.0256137,0.00525567,0.0181029,-0.000764927,33311,33362,33327
2,98.4284,99.4823,-0.0217733,-0.00361191,-0.0111227,0.0002251,33326,33311,33363
3,100.516,99.473,0.0209866,-9.40328e-05,0.0105566,-0.000495473,33285,33318,33397
4,100.268,100.837,-0.00246606,0.0136232,0.00319322,0.00123242,33309,33227,33464
5,101.84,100.074,0.015555,-0.00759653,-0.00193726,0.00335232,33372,33149,33479
6,99.0463,99.7214,-0.0278171,-0.00353262,-0.0210249,0.00421015,33393,33113,33494
7,100.989,99.9948,0.0194264,0.0027385,0.00953072,0.000480972,33282,33250,33468
8,99.1255,100.239,-0.0186274,0.00244168,-0.00745401,0.00554262,33472,33103,33425
9,101.6,100.793,0.0246543,0.00550904,0.0166824,0.004297,33422,33136,33442
