time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
0,101.927,100.637,0.019091,0.00634654,0.00634654,-0.00153015,33279,33381,33340
1,99.6388,100.604,-0.0227091,-0.000328149,-0.0130726,0.00364586,33447,33204,33349
2,101.898,100.943,0.022423,0.00337155,0.013008,0.00213117,33386,33244,33370
3,99.9905,101.352,-0.0188995,0.00403755,-0.0053774,0.00559884,33497,33124,33379
4,102.384,101.507,0.0236588,0.00152712,0.0150493,0.00160745,33336,33229,33435
5,100.374,101.523,-0.0198271,0.000159956,-0.00844958,0.00461189,33437,33130,33433
6,101.836,100.65,0.0144574,-0.00863335,0.00274415,-4.50647e-05,33284,33287,33429
7,98.6551,99.2675,-0.0317345,-0.0138336,-0.0255469,0.00387888,33386,33128,33486
8,97.2112,99.1367,-0.0147445,-0.00131792,0.00486967,0.000406156,33252,33225,33523
9,99.5768,98.7869,0.0240438,-0.00353437,0.0160798,0.0021211,33308,33167,33525
