time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
0,98.0224,99.2582,-0.0199738,-0.00744557,-0.00744557,-0.00389969,16603,16733,16664
1,99.9487,98.7346,0.019461,-0.00528941,0.00723885,-0.00306196,16605,16707,16688
2,97.9826,99.2374,-0.019867,0.00507955,-0.00714261,-0.00135082,16634,16679,16687
3,100.349,99.5174,0.0238609,0.00281815,0.0155425,-0.00426068,16593,16735,16672
4,98.2975,99.4722,-0.0206524,-0.000454934,-0.00877336,-0.00329756,16624,16734,16642
5,100.433,99.4691,0.0214881,-3.11274e-05,0.0118479,-0.00915339,16508,16813,16679
6,101.939,100.001,0.0148837,0.00533097,-0.00430929,-0.00456456,16574,16726,16700
7,98.9087,99.5546,-0.0301736,-0.00447155,-0.0236646,-0.00612171,16560,16764,16676
8,100.864,99.9081,0.0195731,0.00354417,0.0100532,-0.00981658,16492,16819,16689
9,98.1967,98.9437,-0.026798,-0.00969962,-0.0192195,-0.00513159,16576,16747,16677
10,100.784,100.046,0.0260064,0.0110799,0.0186584,-0.00708453,16538,16774,16688
11,98.8659,100.026,-0.0192143,-0.00020324,-0.0075513,-0.00459087,16587,16740,16673
12,100.773,99.6942,0.0191106,-0.00331989,0.0083431,-0.00930372,16505,16815,16680
13,98.5089,99.4775,-0.0227286,-0.00217604,-0.0129435,-0.00681375,16544,16771,16685
14,100.544,99.5118,0.0204457,0.000344455,0.0101296,-0.0126453,16436,16857,16707
15,98.2465,99.2221,-0.0231122,-0.00291513,-0.0132313,-0.0115881,16462,16848,16690
16,100.519,99.5918,0.0228678,0.00371903,0.0135999,-0.0123234,16430,16840,16730
17,98.5051,99.6645,-0.0202394,0.000729469,-0.00853845,-0.00907616,16486,16788,16726
18,100.881,99.9729,0.0238326,0.00309002,0.0147909,-0.0134904,16417,16866,16717
19,98.9747,100.247,-0.0190764,0.00273855,-0.00630308,-0.0108951,16432,16794,16774
20,101.256,100.29,0.0227848,0.000431699,0.013205,-0.0133357,16388,16831,16781
21,99.1086,100.201,-0.0214334,-0.00088807,-0.0104678,-0.0142608,16382,16856,16762
22,101.311,100.308,0.0219752,0.00106765,0.0120332,-0.0136161,16372,16824,16804
23,98.6873,99.5601,-0.0262347,-0.00748812,-0.0174301,-0.018126,16305,16907,16788
24,100.565,99.3901,0.0188429,-0.0017083,0.00709638,-0.021228,16276,16982,16742
25,98.3646,99.4217,-0.0221188,0.000317258,-0.0114293,-0.0161707,16366,16904,16730
26,101.015,100.211,0.0265911,0.00790349,0.018593,-0.0156842,16380,16902,16718
27,98.9652,100.091,-0.020503,-0.00118901,-0.00918704,-0.0118686,16443,16838,16719
28,101.155,100.147,0.0218902,0.00055442,0.0118704,-0.00994322,16479,16810,16711
29,102.58,100.772,0.0139801,0.00621811,-0.00380172,-0.00780593,16524,16784,16692
30,100.047,100.942,-0.0249976,0.00168999,-0.0160918,-0.00492286,16575,16739,16686
31,102.739,101.895,0.0265477,0.00940058,0.0183064,-0.0097892,16488,16814,16698
32,100.24,101.152,-0.0246217,-0.00732455,-0.0155658,-0.00348788,16571,16687,16742
33,102.423,101.368,0.021547,0.00213676,0.0111926,-0.00574246,16535,16726,16739
34,100.485,101.746,-0.0191025,0.00372106,-0.0066333,-0.00264296,16604,16692,16704
35,103.138,102.291,0.0260578,0.00533662,0.0178058,-0.0126575,16420,16841,16739
36,101.087,102.27,-0.0200885,-0.000201922,-0.00845388,-0.00834684,16514,16792,16694
37,103.79,102.944,0.0263907,0.00657295,0.0182075,-0.0117817,16440,16832,16728
38,101.272,102.196,-0.0245578,-0.007298,-0.0154812,-0.00609848,16542,16745,16713
39,99.7825,101.642,-0.0148215,-0.00542943,0.00364717,-0.0104915,16458,16807,16735
40,102.653,101.86,0.0283662,0.00213526,0.0206039,-0.0126178,16394,16813,16793
41,100.723,102.004,-0.0189866,0.00141289,-0.00634939,-0.00909146,16458,16760,16782
42,103.237,102.322,0.0246575,0.00311948,0.0157567,-0.0121753,16389,16793,16818
43,104.536,102.724,0.0125046,0.0039136,-0.00498722,-0.00919035,16441,16746,16813
44,100.685,101.372,-0.0375415,-0.013248,-0.0307398,-0.0042802,16517,16659,16824
45,102.995,101.993,0.0226881,0.00610945,0.0129111,-0.00551653,16495,16678,16827
46,104.105,102.696,0.0107212,0.0068679,-0.00290907,0.000632511,16611,16590,16799
47,101.713,102.73,-0.0232486,0.000328392,-0.0133018,0.0010865,16585,16549,16866
48,104.082,103.079,0.0230301,0.00339262,0.0133394,-0.0066353,16468,16688,16844
49,102.138,103.479,-0.0188545,0.00387343,-0.00581726,-0.00153786,16556,16607,16837
50,104.417,103.356,0.0220623,-0.00118815,0.0118491,-0.0033796,16514,16626,16860
51,102.441,103.762,-0.019107,0.00391862,-0.0062946,0.00244233,16623,16542,16835
52,104.637,103.506,0.0212098,-0.00246851,0.0103439,0.00482596,16657,16497,16846
53,102.407,103.509,-0.0215366,2.99767e-05,-0.0108359,0.00958871,16741,16423,16836
54,104.461,103.239,0.0198589,-0.00261001,0.00809064,0.0105453,16770,16420,16810
55,101.646,102.496,-0.0273161,-0.0072274,-0.0189957,0.0113924,16779,16401,16820
56,103.933,102.888,0.0222435,0.0038199,0.0121403,0.00928214,16745,16437,16818
57,105.409,103.614,0.014108,0.00702967,-0.00307354,0.0163915,16866,16322,16812
58,102.489,103.318,-0.0280933,-0.00286003,-0.0200416,0.0208836,16914,16222,16864
59,104.542,103.295,0.019829,-0.000217674,0.00783408,0.0191629,16886,16251,16863
60,102.045,102.993,-0.0241782,-0.00293341,-0.0149283,0.0199837,16920,16257,16823
61,102.264,102.494,0.002152,-0.00485667,0.00439316,0.0173302,16877,16302,16821
62,101.311,102.314,-0.00936134,-0.00175565,0.00048551,0.0163183,16847,16306,16847
63,103.82,102.87,0.0244584,0.00541633,0.0152632,0.0150902,16817,16317,16866
64,101.511,102.577,-0.022488,-0.00284596,-0.0120412,0.0156075,16821,16304,16875
65,104.001,103.044,0.0242304,0.00454282,0.0149896,0.0150147,16799,16302,16899
66,105.957,104.636,0.0186294,0.0153256,0.00608486,0.0165786,16832,16283,16885
67,103.841,105.056,-0.0201718,0.00400726,-0.00853724,0.0205314,16900,16220,16880
68,106.398,105.405,0.024324,0.00331248,0.014947,0.0183212,16869,16262,16869
69,104.372,105.665,-0.0192221,0.00246822,-0.00690871,0.0195984,16882,16233,16885
70,107.002,106.035,0.0248901,0.00349704,0.0158104,0.0178264,16872,16281,16847
71,104.977,106.279,-0.0191137,0.00229505,-0.00678467,0.0186474,16907,16288,16805
72,108.149,107.314,0.0297741,0.00969672,0.0220258,0.0186733,16884,16265,16851
73,106.076,107.35,-0.0193525,0.000332902,-0.00741544,0.0202096,16886,16217,16897
74,108.499,107.398,0.0225821,0.000448996,0.012386,0.0211711,16882,16182,16936
75,106.266,107.446,-0.0207903,0.000442501,-0.00975358,0.0245525,16942,16130,16928
76,108.392,107.098,0.0198042,-0.00323897,0.00779777,0.0219146,16904,16179,16917
77,110.076,107.872,0.0154189,0.00719745,-0.00480898,0.0219667,16888,16162,16950
78,107.497,108.557,-0.0237138,0.00632768,-0.0139002,0.0218607,16898,16175,16927
79,110.038,108.998,0.0233694,0.00406043,0.0138741,0.0190015,16839,16211,16950
80,111.736,109.926,0.0153076,0.00847387,-0.00102143,0.0235105,16913,16136,16951
81,109.348,110.567,-0.021598,0.00581201,-0.010517,0.0217339,16877,16159,16964
82,111.738,110.572,0.0216173,4.71874e-05,0.0111282,0.0198347,16839,16184,16977
83,109.2,110.326,-0.0229781,-0.00222619,-0.0127153,0.0200793,16841,16178,16981
84,111.37,110.066,0.0196836,-0.00235557,0.00790722,0.0149019,16754,16262,16984
85,108.504,109.49,-0.0260747,-0.00525304,-0.0170294,0.0124645,16733,16321,16946
86,110.625,109.326,0.0193582,-0.00149887,0.00754637,0.0114191,16696,16319,16985
87,108.412,109.753,-0.0202041,0.00389647,-0.00791541,0.0128636,16732,16307,16961
88,110.495,109.159,0.0190321,-0.00542375,0.00686496,0.0107416,16702,16347,16951
89,109.794,110.439,-0.00636806,0.011658,-0.000509176,0.0112482,16722,16350,16928
90,112.379,111.384,0.0232748,0.00851967,0.0143785,0.010977,16716,16353,16931
91,110.284,111.785,-0.0188194,0.00359282,-0.00530346,0.0125397,16755,16340,16905
92,112.411,111.055,0.0191059,-0.00654834,0.00696758,0.0119026,16748,16354,16898
93,109.952,111.149,-0.0221198,0.000844457,-0.0112938,0.0122047,16753,16349,16898
94,108.281,110.385,-0.0153203,-0.00689694,0.00392901,0.00815316,16693,16423,16884
95,111.971,111.189,0.0335185,0.00726073,0.02651,0.00613163,16655,16452,16893
96,109.881,111.398,-0.0188423,0.00187238,-0.00513611,0.0128163,16793,16368,16839
97,112.855,111.935,0.0267045,0.0048136,0.0185198,0.0106749,16758,16404,16838
98,110.28,111.415,-0.0230856,-0.00466385,-0.0128485,0.0131131,16804,16369,16827
