time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
0,101.927,100.637,0.019091,0.00634654,0.00634654,-0.00153015,33279,33381,33340
1,99.6388,100.604,-0.0227091,-0.000328149,-0.0130726,0.00364586,33447,33204,33349
2,101.898,100.943,0.022423,0.00337155,0.013008,0.00213117,33386,33244,33370
3,99.9905,101.352,-0.0188995,0.00403755,-0.0053774,0.00559884,33497,33124,33379
4,102.384,101.507,0.0236588,0.00152712,0.0150493,0.00160745,33336,33229,33435
5,100.374,101.523,-0.0198271,0.000159956,-0.00844958,0.00461189,33437,33130,33433
6,101.836,100.65,0.0144574,-0.00863335,0.00274415,-4.50647e-05,33284,33287,33429
7,98.6551,99.2675,-0.0317345,-0.0138336,-0.0255469,0.00387888,33386,33128,33486
8,97.2112,99.1367,-0.0147445,-0.00131792,0.00486967,0.000406156,33252,33225,33523
9,99.5768,98.7869,0.0240438,-0.00353437,0.0160798,0.0021211,33308,33167,33525
10,96.3627,97.0205,-0.0328105,-0.0180433,-0.0260074,0.0055599,33459,33089,33452
11,94.8772,96.3166,-0.0155356,-0.00728159,-0.000478462,0.000526102,33281,33246,33473
12,93.4085,95.282,-0.0156012,-0.0107992,0.00425793,-0.00214847,33208,33351,33441
13,95.7469,94.9302,0.0247263,-0.0036997,0.0161595,-0.00616801,33031,33441,33528
14,93.8646,95.0485,-0.0198551,0.00124524,-0.00732157,-0.00132418,33184,33272,33544
15,95.8134,94.777,0.0205489,-0.00286023,0.00967329,-0.00347415,33130,33361,33509
16,93.7678,94.8178,-0.0215811,0.000430806,-0.0104448,-0.00209139,33162,33301,33537
17,95.6793,94.6131,0.0201811,-0.00216172,0.00897461,-0.00678736,32998,33449,33553
18,93.8367,95.0362,-0.0194457,0.00446246,-0.00674398,-0.000225921,33190,33205,33605
19,95.6158,94.4234,0.0187817,-0.0064693,0.00623243,-0.00336,33073,33296,33631
20,92.4862,93.1678,-0.033279,-0.0133873,-0.0259366,1.50673e-05,33185,33184,33631
21,91.0558,92.3401,-0.0155867,-0.00892279,-0.0015804,-0.00597973,32997,33394,33609
22,93.1476,92.2497,0.022713,-0.000980234,0.0130261,-0.0058023,32984,33369,33647
23,90.9506,91.8505,-0.0238688,-0.00433603,-0.0140229,-0.00265196,33095,33271,33634
24,92.9047,91.9431,0.0212576,0.00100724,0.0108531,-0.00445958,33039,33335,33626
25,91.1862,92.4298,-0.0186707,0.00527904,-0.00512547,0.00096342,33247,33183,33570
26,93.6444,92.8771,0.0266012,0.00482855,0.0183738,-0.002198,33139,33285,33576
27,95.0401,93.5665,0.0147937,0.00739537,-0.000832075,0.00186708,33269,33145,33586
28,92.2291,92.943,-0.0300227,-0.00668678,-0.0223126,0.00331305,33312,33092,33596
29,94.3288,93.3882,0.0225108,0.00477863,0.0124888,0.000512619,33180,33146,33674
30,92.0751,92.9411,-0.0241817,-0.00479823,-0.0148203,0.00416076,33305,33029,33666
31,94.388,93.544,0.0248087,0.00646497,0.0158264,0.00241167,33252,33092,33656
32,92.1643,93.0338,-0.0238407,-0.00546817,-0.0144505,0.00527156,33372,33022,33606
33,94.1325,93.1176,0.0211305,0.000899557,0.0102897,0.00411027,33346,33073,33581
34,91.5196,92.2483,-0.0281503,-0.0093788,-0.0202196,0.00850814,33486,32921,33593
35,93.5641,92.6052,0.0220932,0.00386124,0.0117919,0.0039427,33357,33095,33548
36,91.1024,91.8589,-0.0266623,-0.00809105,-0.0183923,0.00740295,33476,32984,33540
37,92.8083,91.6094,0.0185524,-0.00271986,0.00555014,0.000977282,33288,33223,33489
38,90.781,91.7081,-0.0220869,0.00107653,-0.0119257,0.00228537,33331,33179,33490
39,92.5822,91.4835,0.0196473,-0.00245196,0.00770931,0.00187973,33312,33187,33501
40,90.6049,91.5617,-0.0215891,0.000854709,-0.0110833,0.002074,33338,33200,33462
41,92.7729,91.9105,0.0236467,0.00380143,0.0143072,-0.00141349,33204,33298,33498
42,94.0739,92.5709,0.0139257,0.00715926,-0.00218021,-0.00109789,33209,33282,33509
43,92.264,93.412,-0.0194265,0.00904598,-0.00705993,0.0015337,33304,33202,33494
44,94.2395,93.2438,0.0211857,-0.00180271,0.0105639,-0.00257031,33179,33350,33471
45,91.94,92.7882,-0.0247029,-0.0048986,-0.0155204,0.000766675,33286,33235,33479
46,93.7017,92.5545,0.0189798,-0.00252155,0.00666095,0.000180288,33286,33274,33440
47,91.4311,92.2854,-0.0245302,-0.00291177,-0.0152306,0.00121689,33322,33241,33437
48,90.0923,91.87,-0.0147509,-0.00451165,0.00478798,-0.00487335,33080,33404,33516
49,92.6784,91.95,0.0283005,0.000871157,0.02041,-0.00593994,33052,33447,33501
50,90.7072,91.6931,-0.0214984,-0.00279766,-0.0106881,-0.00111235,33226,33300,33474
51,92.6061,91.5919,0.0207175,-0.00110437,0.00970589,-0.00506576,33094,33431,33475
52,90.4782,91.3762,-0.0232463,-0.0023583,-0.0133699,-0.00102259,33215,33283,33502
53,92.4384,91.4601,0.0214337,0.000918056,0.0107945,-0.00254392,33132,33301,33567
54,90.3005,91.1859,-0.0233989,-0.00300245,-0.0136417,0.000391389,33228,33202,33570
55,92.2397,91.2557,0.0212472,0.000764619,0.0105218,-0.00189656,33155,33281,33564
56,93.4866,91.8313,0.0134281,0.00628773,-0.00443765,-0.000180832,33174,33186,33640
57,90.6596,91.3581,-0.0307071,-0.00516589,-0.0230317,0.000572876,33185,33147,33668
58,92.4247,91.2942,0.0192823,-0.000699812,0.00697559,-0.00250219,33088,33254,33658
59,89.9556,90.7159,-0.0270773,-0.00635432,-0.0186611,0.000844798,33172,33116,33712
60,91.8641,90.8819,0.0209932,0.00182784,0.0102441,-0.00405444,33039,33308,33653
61,89.5577,90.3713,-0.0254266,-0.00563434,-0.0163835,-0.00425288,33013,33295,33692
62,91.7177,90.8836,0.0238325,0.00565297,0.014696,-0.00662432,32916,33355,33729
63,89.8526,90.9089,-0.0205451,0.000278928,-0.00885758,-0.00614479,32914,33321,33765
64,91.6743,90.6598,0.0200716,-0.00274462,0.00894286,-0.00921666,32841,33452,33707
